Date,Open,High,Low,Close,Adj Close,Volume
2017-05-22,9.570000,9.671000,9.494000,9.516000,9.516000,8803686
2017-05-23,9.481000,9.689000,9.470000,9.620000,9.620000,11127551
2017-05-24,9.608000,9.630000,9.531000,9.610000,9.610000,6868826
2017-05-25,9.630000,9.650000,9.470000,9.527000,9.527000,8866682
2017-05-26,9.500000,9.508000,9.251000,9.381000,9.381000,11995289
2017-05-29,9.380000,9.459000,9.333000,9.349000,9.349000,5421851
2017-05-30,9.335000,9.367000,9.163000,9.263000,9.263000,11818705
2017-05-31,9.420000,9.531000,9.348000,9.388000,9.388000,17005359
2017-06-01,9.430000,9.500000,9.292000,9.407000,9.407000,10146870
2017-06-02,9.460000,9.587000,9.338000,9.354000,9.354000,13376499
2017-06-05,9.354000,9.354000,9.354000,9.354000,9.354000,0
2017-06-06,9.332000,9.463000,9.306000,9.417000,9.417000,10866410
2017-06-07,9.410000,9.550000,9.360000,9.399000,9.399000,13165311
2017-06-08,9.420000,9.584000,9.259000,9.456000,9.456000,17320606
2017-06-09,9.432000,9.583000,9.301000,9.483000,9.483000,16495053
2017-06-12,9.445000,9.501000,9.317000,9.380000,9.380000,11242063
2017-06-13,9.445000,9.497000,9.380000,9.440000,9.440000,9891167
2017-06-14,9.469000,9.560000,9.258000,9.300000,9.300000,17236875
2017-06-15,9.333000,9.390000,9.183000,9.342000,9.342000,11039380
2017-06-16,9.374000,9.541000,9.365000,9.450000,9.450000,24155681
2017-06-19,9.501000,9.624000,9.451000,9.593000,9.593000,13104601
2017-06-20,9.650000,9.680000,9.423000,9.423000,9.423000,9064643
2017-06-21,9.400000,9.411000,9.227000,9.358000,9.358000,12352520
2017-06-22,9.350000,9.360000,9.250000,9.304000,9.304000,8256151
2017-06-23,9.420000,9.520000,9.126000,9.277000,9.277000,20530534
2017-06-26,9.363000,9.542000,9.325000,9.477000,9.477000,15333412
2017-06-27,9.450000,9.967000,9.411000,9.941000,9.941000,22431076
2017-06-28,9.895000,10.275000,9.885000,10.260000,10.260000,21458071
2017-06-29,10.400000,10.590000,10.340000,10.395000,10.395000,17124739
2017-06-30,10.450000,10.560000,10.370000,10.430000,10.430000,11966202
2017-07-03,10.510000,10.875000,10.485000,10.875000,10.875000,11567349
2017-07-04,10.820000,11.000000,10.780000,10.780000,10.780000,9629465
2017-07-05,10.765000,10.925000,10.705000,10.840000,10.840000,9725115
2017-07-06,11.055000,11.270000,10.920000,11.200000,11.200000,20271458
2017-07-07,11.220000,11.250000,11.060000,11.110000,11.110000,8167829
2017-07-10,11.215000,11.285000,11.070000,11.145000,11.145000,7734285
2017-07-11,11.190000,11.275000,11.100000,11.150000,11.150000,8865616
2017-07-12,11.260000,11.275000,10.970000,10.970000,10.970000,15969795
